Date : 2024-04-24 11:12:51
Directory : c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src
Total : 71 files,  2720 codes, 38 comments, 470 blanks, all 3228 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\loadingFeedback\loadingFeedback.styles.scss                                          | SCSS             |        104 |          0 |         13 |        117 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\navigation\navigation.component.jsx                                                  | JavaScript React |         56 |          0 |         12 |         68 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\navigation\navigation.styles.scss                                                    | SCSS             |         30 |          0 |          5 |         35 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\page_not_found\page-not-found.components.jsx                                         | JavaScript React |         10 |          0 |          2 |         12 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\page_not_found\page-not-found.styles.scss                                            | SCSS             |         15 |          0 |          2 |         17 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\shop\shop.component.jsx                                                              | JavaScript React |         13 |          0 |          4 |         17 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\shop\shop.component.scss                                                             | SCSS             |          6 |          0 |          0 |          6 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\sign-in-form\sign-in-form.component.jsx                                              | JavaScript React |         80 |          0 |         21 |        101 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\sign-in-form\sign-in-form.styles.scss                                                | SCSS             |         40 |          0 |          8 |         48 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\sign-up-form\sign-up-form.component.jsx                                              | JavaScript React |         86 |          0 |         20 |        106 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\sign-up-form\sign-up-form.styles.scss                                                | SCSS             |         46 |          0 |          9 |         55 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\utils\firebase\firebase-auth.utils.js                                                       | JavaScript       |         54 |          3 |          8 |         65 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\utils\firebase\firebase-client.utils.js                                                     | JavaScript       |         11 |          1 |          4 |         16 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\utils\firebase\firestore.utils.js                                                           | JavaScript       |        115 |          1 |         20 |        136 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\utils\reducer\reducer.utils.js                                                              | JavaScript       |          3 |          0 |          0 |          3 |
| Total                                                                                                                                                    |                  |      2,720 |         38 |        470 |      3,228 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
